datum,location_id,pretocnost,day_of_week,dela_prost_dan,month,pretocnost_7d
2022-10-12,0,13,2,False,10,43.142857142857146
2022-10-13,0,20,3,False,10,41.285714285714285
2022-10-14,0,4,4,False,10,38.57142857142857
2022-10-15,0,77,5,False,10,32.857142857142854
2022-10-16,0,151,6,False,10,39.857142857142854
2022-10-17,0,3,0,False,10,39.42857142857143
2022-10-18,0,41,1,False,10,44.142857142857146
2022-10-19,0,142,2,False,10,62.57142857142857
2022-10-20,0,9,3,False,10,61.0
2022-10-21,0,23,4,False,10,63.714285714285715
2022-10-22,0,21,5,False,10,55.714285714285715
2022-10-23,0,68,6,False,10,43.857142857142854
2022-10-24,0,20,0,False,10,46.285714285714285
2022-10-25,0,3,1,False,10,40.857142857142854
2022-10-26,0,8,2,False,10,21.714285714285715
2022-10-27,0,26,3,False,10,24.142857142857142
2022-10-28,0,26,4,False,10,24.571428571428573
2022-10-29,0,104,5,False,10,36.42857142857143
2022-10-30,0,219,6,False,10,58.0
2022-10-31,0,191,0,True,10,82.42857142857143
2022-11-01,0,169,1,True,11,106.14285714285714
2022-11-02,0,19,2,False,11,107.71428571428571
2022-11-03,0,9,3,False,11,105.28571428571429
2022-11-04,0,2,4,False,11,101.85714285714286
2022-11-05,0,29,5,False,11,91.14285714285714
2022-11-06,0,167,6,False,11,83.71428571428571
2022-11-07,0,4,0,False,11,57.0
2022-11-08,0,16,1,False,11,35.142857142857146
2022-11-09,0,7,2,False,11,33.42857142857143
2022-11-10,0,1,3,False,11,32.285714285714285
2022-11-11,0,10,4,False,11,33.42857142857143
2022-11-12,0,40,5,False,11,35.0
2022-11-13,0,80,6,False,11,22.571428571428573
2022-11-14,0,6,0,False,11,22.857142857142858
2022-11-15,0,0,1,False,11,20.571428571428573
2022-11-16,0,0,2,False,11,19.571428571428573
2022-11-17,0,11,3,False,11,21.0
2022-11-18,0,2,4,False,11,19.857142857142858
2022-11-19,0,18,5,False,11,16.714285714285715
2022-11-20,0,45,6,False,11,11.714285714285714
2022-11-21,0,12,0,False,11,12.571428571428571
2022-11-22,0,0,1,False,11,12.571428571428571
2022-11-23,0,5,2,False,11,13.285714285714286
2022-11-24,0,19,3,False,11,14.428571428571429
2022-11-25,0,9,4,False,11,15.428571428571429
2022-11-26,0,61,5,False,11,21.571428571428573
2022-11-27,0,114,6,False,11,31.428571428571427
2022-11-28,0,13,0,False,11,31.571428571428573
2022-11-29,0,2,1,False,11,31.857142857142858
2022-11-30,0,5,2,False,11,31.857142857142858
2022-12-01,0,0,3,False,12,29.142857142857142
2022-12-02,0,9,4,False,12,29.142857142857142
2022-12-03,0,15,5,False,12,22.571428571428573
2022-12-04,0,8,6,False,12,7.428571428571429
2022-12-05,0,1,0,False,12,5.714285714285714
2022-12-06,0,18,1,False,12,8.0
2022-12-07,0,8,2,False,12,8.428571428571429
2022-12-08,0,8,3,False,12,9.571428571428571
2022-12-09,0,4,4,False,12,8.857142857142858
2022-12-10,0,8,5,False,12,7.857142857142857
2022-12-11,0,27,6,False,12,10.571428571428571
2022-12-12,0,10,0,False,12,11.857142857142858
2022-12-13,0,19,1,False,12,12.0
2022-12-14,0,7,2,False,12,11.857142857142858
2022-12-15,0,0,3,False,12,10.714285714285714
2022-12-16,0,0,4,False,12,10.142857142857142
2022-12-17,0,51,5,False,12,16.285714285714285
2022-12-18,0,106,6,False,12,27.571428571428573
2022-12-19,0,11,0,False,12,27.714285714285715
2022-12-20,0,9,1,False,12,26.285714285714285
2022-12-21,0,3,2,False,12,25.714285714285715
2022-12-22,0,15,3,False,12,27.857142857142858
2022-12-23,0,2,4,False,12,28.142857142857142
2022-12-24,0,15,5,False,12,23.0
2022-12-25,0,66,6,True,12,17.285714285714285
2022-12-26,0,105,0,True,12,30.714285714285715
2022-12-27,0,39,1,False,12,35.0
2022-12-28,0,64,2,False,12,43.714285714285715
2022-12-29,0,32,3,False,12,46.142857142857146
2022-12-30,0,8,4,False,12,47.0
2022-12-31,0,56,5,False,12,52.857142857142854
2023-01-01,0,80,6,True,1,54.857142857142854
2023-01-02,0,888,0,True,1,166.71428571428572
2023-01-03,0,20,1,False,1,164.0
2023-01-04,0,9,2,False,1,156.14285714285714
2023-01-05,0,2,3,False,1,151.85714285714286
2023-01-06,0,45,4,False,1,157.14285714285714
2023-01-07,0,131,5,False,1,167.85714285714286
2023-01-08,0,52,6,False,1,163.85714285714286
2023-01-09,0,1,0,False,1,37.142857142857146
2023-01-10,0,4,1,False,1,34.857142857142854
2023-01-11,0,4,2,False,1,34.142857142857146
2023-01-12,0,14,3,False,1,35.857142857142854
2023-01-13,0,8,4,False,1,30.571428571428573
2023-01-14,0,126,5,False,1,29.857142857142858
2023-01-15,0,73,6,False,1,32.857142857142854
2023-01-16,0,0,0,False,1,32.714285714285715
2023-01-17,0,4,1,False,1,32.714285714285715
2023-01-18,0,0,2,False,1,32.142857142857146
2023-01-19,0,10,3,False,1,31.571428571428573
2023-01-20,0,20,4,False,1,33.285714285714285
2023-01-21,0,76,5,False,1,26.142857142857142
2023-01-22,0,169,6,False,1,39.857142857142854
2023-01-23,0,0,0,False,1,39.857142857142854
2023-01-24,0,0,1,False,1,39.285714285714285
2023-01-25,0,0,2,False,1,39.285714285714285
2023-01-26,0,0,3,False,1,37.857142857142854
2023-01-27,0,0,4,False,1,35.0
2023-01-28,0,3,5,False,1,24.571428571428573
2023-01-29,0,5,6,False,1,1.1428571428571428
2023-01-30,0,2,0,False,1,1.4285714285714286
2023-01-31,0,4,1,False,1,2.0
2023-02-01,0,1,2,False,2,2.142857142857143
2023-02-02,0,5,3,False,2,2.857142857142857
2023-02-03,0,2,4,False,2,3.142857142857143
2023-02-04,0,110,5,False,2,18.428571428571427
2023-02-05,0,170,6,False,2,42.0
2023-02-06,0,11,0,False,2,43.285714285714285
2023-02-07,0,24,1,False,2,46.142857142857146
2023-02-08,0,125,2,True,2,63.857142857142854
2023-02-09,0,13,3,False,2,65.0
2023-02-10,0,9,4,False,2,66.0
2023-02-11,0,87,5,False,2,62.714285714285715
2023-02-12,0,137,6,False,2,58.0
2023-02-13,0,8,0,False,2,57.57142857142857
2023-02-14,0,22,1,False,2,57.285714285714285
2023-02-15,0,22,2,False,2,42.57142857142857
2023-02-16,0,13,3,False,2,42.57142857142857
2023-02-17,0,5,4,False,2,42.0
2023-02-18,0,16,5,False,2,31.857142857142858
2023-02-19,0,55,6,False,2,20.142857142857142
2023-02-20,0,0,0,False,2,19.0
2023-02-21,0,3,1,False,2,16.285714285714285
2023-02-22,0,3,2,False,2,13.571428571428571
2023-02-23,0,1,3,False,2,11.857142857142858
2023-02-24,0,6,4,False,2,12.0
2023-02-25,0,2,5,False,2,10.0
2023-02-26,0,21,6,False,2,5.142857142857143
2023-02-27,0,2,0,False,2,5.428571428571429
2023-02-28,0,6,1,False,2,5.857142857142857
2023-03-01,0,7,2,False,3,6.428571428571429
2023-03-02,0,0,3,False,3,6.285714285714286
2023-03-03,0,5,4,False,3,6.142857142857143
2023-03-04,0,52,5,False,3,13.285714285714286
2023-03-05,0,57,6,False,3,18.428571428571427
2023-03-06,0,0,0,False,3,18.142857142857142
2023-03-07,0,3,1,False,3,17.714285714285715
2023-03-08,0,5,2,False,3,17.428571428571427
2023-03-09,0,2,3,False,3,17.714285714285715
2023-03-10,0,4,4,False,3,17.571428571428573
2023-03-11,0,83,5,False,3,22.0
2023-03-12,0,143,6,False,3,34.285714285714285
2023-03-13,0,0,0,False,3,34.285714285714285
2023-03-14,0,2,1,False,3,34.142857142857146
2023-03-15,0,2,2,False,3,33.714285714285715
2023-03-16,0,14,3,False,3,35.42857142857143
2023-03-17,0,7,4,False,3,35.857142857142854
2023-03-18,0,157,5,False,3,46.42857142857143
2023-03-19,0,124,6,False,3,43.714285714285715
2023-03-20,0,0,0,False,3,43.714285714285715
2023-03-21,0,7,1,False,3,44.42857142857143
2023-03-22,0,68,2,False,3,53.857142857142854
2023-03-23,0,10,3,False,3,53.285714285714285
2023-03-27,0,2,0,False,3,52.57142857142857
2023-03-28,0,18,1,False,3,32.714285714285715
2023-03-29,0,55,2,False,3,22.857142857142858
2023-03-30,0,8,3,False,3,24.0
2023-03-31,0,1,4,False,3,23.142857142857142
2023-04-01,0,62,5,False,4,22.285714285714285
2023-04-02,0,55,6,False,4,28.714285714285715
2023-04-03,0,5,0,False,4,29.142857142857142
2023-04-04,0,5,1,False,4,27.285714285714285
