,location_id,day_of_week,dela_prost_dan,RR,SS,TG,month,pretocnost_7d,pretocnost_3d
0,0,4,True,0.0,109.0,224.0,7,340.7142857142857,697.0
1,1,4,True,0.0,109.0,224.0,7,500.85714285714283,186.33333333333334
2,2,4,True,0.0,109.0,224.0,7,0.0,0.0
3,3,4,True,0.0,109.0,224.0,7,41.285714285714285,13.333333333333334
